approach,threshold,accuracy,sensitivity,specificity,precision,F1,MCC,ROC_AUC,FP,FN
Baseline (t=0.54),0.54,0.9400512719384737,0.2718707940780619,0.9928715820832004,0.7509293680297398,0.39920948616600793,0.42929713058109403,0.8973026539720943,67,541
"Threshold sweep (t=0.20, best F1)",0.2,0.9158943009268389,0.5652759084791387,0.9436110224491967,0.4421052631578947,0.4961606615475488,0.4550820636467608,0.8973026539720943,530,323
"Threshold sweep (t=0.10, sens@acc>=0.80)",0.1,0.8490435811477026,0.7375504710632571,0.8578572188530694,0.2908704883227176,0.41720593833269887,0.3989071150477587,0.8973026539720943,1336,195
"Class weights (t=0.60, best F1)",0.6,0.9260500887398935,0.4979811574697174,0.9598893499308437,0.49531459170013387,0.4966442953020134,0.4567401697608115,0.8928638781623486,377,373
"Class weights (t=0.34, sens@acc>=0.80)",0.34,0.8005324393610728,0.8115746971736204,0.7996595382487499,0.24255832662912308,0.37349024465778874,0.37024685516755773,0.8928638781623486,1883,140
"SMOTE (t=0.54, best F1)",0.54,0.920134095839085,0.47644683714670255,0.9552080008511544,0.4567741935483871,0.46640316205533594,0.423370636092454,0.8876581469607387,421,389
"SMOTE (t=0.20, sens@acc>=0.80)",0.2,0.8066456320252415,0.7927321668909825,0.8077455048409405,0.24582637729549248,0.375278751194648,0.3683408972334363,0.8876581469607387,1807,154
