DISTRICT,yr,wk,cases,OUTBREAK,prev_cases,cases_mean,active_weeks,division_lvl,lag1,lag2,roll3,prev_active,wk_sin,wk_cos
BANDARBAN,2026,16,9,1,4.0,0.6818181818181818,4,CHITTAGONG,4.0,1.0,5.0,1,-0.9898214418809327,-0.14231483827328523
BANDARBAN,2026,17,0,0,9.0,0.6818181818181818,4,CHITTAGONG,9.0,4.0,14.0,1,-0.9898214418809328,0.14231483827328487
BANDARBAN,2026,18,0,0,0.0,0.6818181818181818,4,CHITTAGONG,0.0,9.0,13.0,0,-0.9096319953545186,0.41541501300188605
BANDARBAN,2026,19,1,0,0.0,0.6818181818181818,4,CHITTAGONG,0.0,0.0,9.0,0,-0.7557495743542587,0.6548607339452845
BANDARBAN,2026,20,0,0,1.0,0.6818181818181818,4,CHITTAGONG,1.0,0.0,1.0,1,-0.5406408174555974,0.8412535328311812
BANDARBAN,2026,21,0,0,0.0,0.6818181818181818,4,CHITTAGONG,0.0,1.0,1.0,0,-0.2817325568414298,0.9594929736144974
BANDARBAN,2026,22,0,0,0.0,0.6818181818181818,4,CHITTAGONG,0.0,0.0,1.0,0,-1.133107779529596e-15,1.0
BARGUNA,2026,1,0,0,0.0,2.8181818181818183,13,BARISAL,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
BARGUNA,2026,2,0,0,0.0,2.8181818181818183,13,BARISAL,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
BARGUNA,2026,3,0,0,0.0,2.8181818181818183,13,BARISAL,0.0,0.0,0.0,0,0.7557495743542583,0.6548607339452851
BARGUNA,2026,4,0,0,0.0,2.8181818181818183,13,BARISAL,0.0,0.0,0.0,0,0.9096319953545183,0.41541501300188644
BARGUNA,2026,5,0,0,0.0,2.8181818181818183,13,BARISAL,0.0,0.0,0.0,0,0.9898214418809327,0.14231483827328512
BARGUNA,2026,6,0,0,0.0,2.8181818181818183,13,BARISAL,0.0,0.0,0.0,0,0.9898214418809328,-0.142314838273285
BARGUNA,2026,7,0,0,0.0,2.8181818181818183,13,BARISAL,0.0,0.0,0.0,0,0.9096319953545184,-0.4154150130018863
BARGUNA,2026,8,1,0,0.0,2.8181818181818183,13,BARISAL,0.0,0.0,0.0,0,0.7557495743542583,-0.654860733945285
BARGUNA,2026,9,8,1,1.0,2.8181818181818183,13,BARISAL,1.0,0.0,1.0,1,0.5406408174555978,-0.8412535328311811
BARGUNA,2026,10,3,1,8.0,2.8181818181818183,13,BARISAL,8.0,1.0,9.0,1,0.28173255684142967,-0.9594929736144974
BARGUNA,2026,11,10,1,3.0,2.8181818181818183,13,BARISAL,3.0,8.0,12.0,1,5.66553889764798e-16,-1.0
BARGUNA,2026,12,5,1,10.0,2.8181818181818183,13,BARISAL,10.0,3.0,21.0,1,-0.2817325568414294,-0.9594929736144975
BARGUNA,2026,13,9,1,5.0,2.8181818181818183,13,BARISAL,5.0,10.0,18.0,1,-0.5406408174555976,-0.8412535328311812
BARGUNA,2026,14,4,1,9.0,2.8181818181818183,13,BARISAL,9.0,5.0,24.0,1,-0.7557495743542582,-0.6548607339452852
BARGUNA,2026,15,6,1,4.0,2.8181818181818183,13,BARISAL,4.0,9.0,18.0,1,-0.909631995354518,-0.41541501300188716
BARGUNA,2026,16,6,1,6.0,2.8181818181818183,13,BARISAL,6.0,4.0,19.0,1,-0.9898214418809327,-0.14231483827328523
BARGUNA,2026,17,7,1,6.0,2.8181818181818183,13,BARISAL,6.0,6.0,16.0,1,-0.9898214418809328,0.14231483827328487
BARGUNA,2026,18,1,0,7.0,2.8181818181818183,13,BARISAL,7.0,6.0,19.0,1,-0.9096319953545186,0.41541501300188605
BARGUNA,2026,19,1,0,1.0,2.8181818181818183,13,BARISAL,1.0,7.0,14.0,1,-0.7557495743542587,0.6548607339452845
BARGUNA,2026,20,0,0,1.0,2.8181818181818183,13,BARISAL,1.0,1.0,9.0,1,-0.5406408174555974,0.8412535328311812
BARGUNA,2026,21,0,0,0.0,2.8181818181818183,13,BARISAL,0.0,1.0,2.0,0,-0.2817325568414298,0.9594929736144974
BARGUNA,2026,22,1,0,0.0,2.8181818181818183,13,BARISAL,0.0,0.0,1.0,0,-1.133107779529596e-15,1.0
BARISAL,2026,1,0,0,0.0,5.7272727272727275,12,BARISAL,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
BARISAL,2026,2,0,0,0.0,5.7272727272727275,12,BARISAL,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
BARISAL,2026,3,0,0,0.0,5.7272727272727275,12,BARISAL,0.0,0.0,0.0,0,0.7557495743542583,0.6548607339452851
BARISAL,2026,4,0,0,0.0,5.7272727272727275,12,BARISAL,0.0,0.0,0.0,0,0.9096319953545183,0.41541501300188644
BARISAL,2026,5,0,0,0.0,5.7272727272727275,12,BARISAL,0.0,0.0,0.0,0,0.9898214418809327,0.14231483827328512
BARISAL,2026,6,0,0,0.0,5.7272727272727275,12,BARISAL,0.0,0.0,0.0,0,0.9898214418809328,-0.142314838273285
BARISAL,2026,7,0,0,0.0,5.7272727272727275,12,BARISAL,0.0,0.0,0.0,0,0.9096319953545184,-0.4154150130018863
BARISAL,2026,8,0,0,0.0,5.7272727272727275,12,BARISAL,0.0,0.0,0.0,0,0.7557495743542583,-0.654860733945285
BARISAL,2026,9,0,0,0.0,5.7272727272727275,12,BARISAL,0.0,0.0,0.0,0,0.5406408174555978,-0.8412535328311811
BARISAL,2026,10,0,0,0.0,5.7272727272727275,12,BARISAL,0.0,0.0,0.0,0,0.28173255684142967,-0.9594929736144974
BARISAL,2026,11,7,1,0.0,5.7272727272727275,12,BARISAL,0.0,0.0,0.0,0,5.66553889764798e-16,-1.0
BARISAL,2026,12,3,1,7.0,5.7272727272727275,12,BARISAL,7.0,0.0,7.0,1,-0.2817325568414294,-0.9594929736144975
BARISAL,2026,13,15,1,3.0,5.7272727272727275,12,BARISAL,3.0,7.0,10.0,1,-0.5406408174555976,-0.8412535328311812
BARISAL,2026,14,10,1,15.0,5.7272727272727275,12,BARISAL,15.0,3.0,25.0,1,-0.7557495743542582,-0.6548607339452852
BARISAL,2026,15,8,1,10.0,5.7272727272727275,12,BARISAL,10.0,15.0,28.0,1,-0.909631995354518,-0.41541501300188716
BARISAL,2026,16,22,1,8.0,5.7272727272727275,12,BARISAL,8.0,10.0,33.0,1,-0.9898214418809327,-0.14231483827328523
BARISAL,2026,17,16,1,22.0,5.7272727272727275,12,BARISAL,22.0,8.0,40.0,1,-0.9898214418809328,0.14231483827328487
BARISAL,2026,18,9,1,16.0,5.7272727272727275,12,BARISAL,16.0,22.0,46.0,1,-0.9096319953545186,0.41541501300188605
BARISAL,2026,19,13,1,9.0,5.7272727272727275,12,BARISAL,9.0,16.0,47.0,1,-0.7557495743542587,0.6548607339452845
BARISAL,2026,20,14,1,13.0,5.7272727272727275,12,BARISAL,13.0,9.0,38.0,1,-0.5406408174555974,0.8412535328311812
BARISAL,2026,21,8,1,14.0,5.7272727272727275,12,BARISAL,14.0,13.0,36.0,1,-0.2817325568414298,0.9594929736144974
BARISAL,2026,22,1,0,8.0,5.7272727272727275,12,BARISAL,8.0,14.0,35.0,1,-1.133107779529596e-15,1.0
BARISAL CC.,2026,1,0,0,0.0,1.2727272727272727,7,BARISAL,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
BARISAL CC.,2026,2,0,0,0.0,1.2727272727272727,7,BARISAL,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
BARISAL CC.,2026,3,0,0,0.0,1.2727272727272727,7,BARISAL,0.0,0.0,0.0,0,0.7557495743542583,0.6548607339452851
BARISAL CC.,2026,4,0,0,0.0,1.2727272727272727,7,BARISAL,0.0,0.0,0.0,0,0.9096319953545183,0.41541501300188644
BARISAL CC.,2026,5,0,0,0.0,1.2727272727272727,7,BARISAL,0.0,0.0,0.0,0,0.9898214418809327,0.14231483827328512
BARISAL CC.,2026,6,0,0,0.0,1.2727272727272727,7,BARISAL,0.0,0.0,0.0,0,0.9898214418809328,-0.142314838273285
BARISAL CC.,2026,7,0,0,0.0,1.2727272727272727,7,BARISAL,0.0,0.0,0.0,0,0.9096319953545184,-0.4154150130018863
BARISAL CC.,2026,8,0,0,0.0,1.2727272727272727,7,BARISAL,0.0,0.0,0.0,0,0.7557495743542583,-0.654860733945285
BARISAL CC.,2026,9,0,0,0.0,1.2727272727272727,7,BARISAL,0.0,0.0,0.0,0,0.5406408174555978,-0.8412535328311811
