strategy,roc_auc,pr_auc,accuracy,sensitivity,specificity,f1,mcc
no_weight,0.8421661094565096,0.9034488933290581,0.7793174724019795,0.8866293959883655,0.5818913738019169,0.838855776740458,0.4993377103657094
moderate_scale_pos_weight_1.5,0.8420078975179607,0.9031571643750087,0.7754858520492324,0.9327071355720923,0.4862353993610224,0.8433413281751312,0.4872323192078561
scale_pos_weight_ratio,0.8416199070805398,0.9039418052715478,0.7566735185890116,0.7748191742530125,0.7232899680511182,0.8048931355198802,0.485586443196856
scale_pos_weight_2.0x,0.8419900655832471,0.9032139506587917,0.7669243116355793,0.9514868734181997,0.42737277955271563,0.8410132003833676,0.4690615077279949
