,mean,std
accuracy,0.7687687687687689,0.008706766895452835
ROC_AUC,0.8406525557941134,0.010713247741551617
PR_AUC,0.900886658244961,0.008850864511612601
sensitivity,0.8292004634994207,0.06376592331708178
specificity,0.6575692963752665,0.09676976450941321
precision,0.8196603250096042,0.03259512368313401
F1,0.822164961971039,0.016555463321373518
MCC,0.495278787397325,0.013841981884969936
