model,roc_auc,pr_auc,accuracy,sensitivity,specificity,f1,mcc
XGBoost,0.8421661094565096,0.9034488933290581,0.7793174724019795,0.8866293959883655,0.5818913738019169,0.838855776740458,0.4993377103657094
CatBoost,0.8413837766304303,0.902484034879059,0.7775144017256694,0.8913245948702452,0.5681334185303515,0.8384870427200946,0.49399903317203303
LightGBM,0.8387240417195698,0.9028108030140384,0.7732344245654105,0.8798489026555357,0.5770929073482428,0.8340805554627162,0.48558820682524234
RandomForest,0.8196824526001233,0.8782302768547157,0.7630939601573405,0.8228146413326785,0.6532278594249201,0.8181835132002625,0.4784226063780128
ExtraTrees,0.7733489329222166,0.8361780269220546,0.7425916761832255,0.8480268953273147,0.5486164856230031,0.8102087629451912,0.4167967513171525
LogisticRegression,0.7688405085374705,0.8105260479925585,0.7350463773632788,0.7727367506516073,0.6657078594249202,0.7907599404864392,0.43109807149622814
LinearSVC,0.7588714990967589,0.8042559420329202,0.7528443090978303,0.8850634231103388,0.5095979552715655,0.8226952597203324,0.433120706884338
