,0
upzmunc_SAKHIPUR,0.00051385356
upzmunc_RAOZAN,0.00050210377
upzmunc_LALPUR,0.00048861
upzmunc_SIRAJGANJ SADAR,0.00048351567
upzmunc_BANCHHARAMPUR,0.00048160192
upzmunc_LALMOHAN,0.00047691463
upzmunc_COX'S BAZAR SADAR,0.0004244619
district_JOYPURHAT,0.00041378508
upzmunc_JHIKARGACHHA,0.00040491082
upzmunc_CHANDPUR MUN.,0.00040315036
district_RANGPUR,0.00039949946
district_KURIGRAM,0.0003916704
district_DINAJPUR,0.00037750858
upzmunc_SANDIP,0.0003735001
upzmunc_BHEDARGANJ,0.00036436555
upzmunc_NAWABGANJ MUN.,0.00035824848
upzmunc_NARSINGDI SADAR,0.00035211342
upzmunc_LOHAGARA_CTG,0.00035193784
upzmunc_ISHWARGANJ,0.00034964253
upzmunc_TARA KHANDA,0.00033886428
district_NILPHAMARI,0.00031357424
district_BAGERHAT,0.00030557276
upzmunc_MUKTAGACHHA,0.00030167232
upzmunc_NASIRNAGAR,0.00029229026
upzmunc_FULBARIA_MYM,0.0002800001
upzmunc_RAMGATI,0.00027682786
upzmunc_COX'S BAZAR MUN.,0.00023599465
upzmunc_BOGRA SADAR,0.00023159522
upzmunc_LAKHAI,0.00022325508
upzmunc_KAWKHALI_RMT,0.00022237038
upzmunc_FULPUR,0.00021843184
district_PANCHAGHARH,0.00019683328
district_SHERPUR,0.00019662792
upzmunc_KALKINI,0.00019509373
district_NOAGOAN,0.00019269952
upzmunc_SREEPUR_GAZ,0.00017863722
upzmunc_LAKSAM,0.00016773917
upzmunc_BANSKHALI,0.00016535804
upzmunc_NARSINGDI MUN.,0.00016150797
district_GAZIPUR CC.,0.00014448777
upzmunc_SREENAGAR,0.00014358897
upzmunc_NAWABGANJ,0.0001417674
upzmunc_ATPARA,0.00014153031
upzmunc_GAFFARGAON,0.00014141365
upzmunc_ROYPURA,0.00013109668
upzmunc_ATGHARIA,0.00012275063
upzmunc_SANTHIA,0.000119490214
upzmunc_NANDAIL,0.000119052595
upzmunc_NAGARKANDA,0.000113618604
district_MYMENSINGH CC.,0.00011322513
vax_status_VACCINATED,0.000112934336
upzmunc_GAURIPUR,0.000111558584
upzmunc_RAMU,0.00011004873
upzmunc_SUJANAGAR,9.9529956e-05
upzmunc_MANIKGANJ SADAR,9.716492e-05
upzmunc_DAMUDYA,9.518575e-05
upzmunc_BARISAL CC.,9.459795e-05
upzmunc_KHULNA CC.,9.385541e-05
upzmunc_PURBADHALA,9.204076e-05
