subset,n_features,auc_mean,auc_std,pr_mean
Model_C_top15,15,0.8398609977610636,0.00743153666785215,0.9011094689606756
Model_B_top20,20,0.8396290813610637,0.007524084179106306,0.9009158103664603
Model_F,21,0.8393611974338165,0.008597640446276394,0.900158044643424
Model_D_top10,10,0.8370064462511,0.0075882870007870605,0.8987566992585305
Model_A_original,13,0.7383231874825158,0.0100457390400902,0.806978410888201
Model_E_clinical,11,0.7179609001500165,0.007674084682777863,0.7944060552552792
